0.6051		HH
0.92517		HH
0.96769		KD
1.2499		SD
1.5573		SD
1.8453		KD
1.8578		HH
2.166		KD
2.1706		HH
2.4668		SD
2.7931		SD
3.1196		HH
3.4295		HH
3.4344		KD
3.7523		SD
4.07		SD
4.3701		HH
4.6861		HH
4.7028		KD
4.9939		HH
5.0003		SD
5.294		HH
5.6239		HH
5.9499		HH
5.9624		KD
6.2682		SD
6.5893		SD
6.9208		HH
7.2381		KD
7.2475		HH
7.5416		SD
7.8718		SD
8.1645		HH
8.4749		HH
8.4934		KD
8.7899		SD
9.1205		SD
9.4295		KD
9.4458		HH
9.7531		HH
9.7691		KD
10.0562		SD
10.0649		HH
10.7089		SD
10.7238		HH
11.0278		HH
11.0338		KD
11.3693		SD
11.6809		SD
11.943		KD
11.9507		HH
12.2545		HH
12.5683		SD
12.8797		SD
13.2493		HH
13.5273		HH
13.5496		KD
13.8542		SD
14.1796		SD
14.4965		KD
14.527		HH
14.8341		HH
14.8368		KD
15.123		SD
15.331		KD
15.4416		SD
15.7787		HH
16.0815		HH
