0.00081		HH
0.00111		KD
0.44406		HH
0.66737		SD
0.67438		HH
1.098		HH
1.3344		KD
1.7716		HH
2.0001		HH
2.0009		SD
2.4522		HH
2.6678		KD
2.67		HH
3.1108		HH
3.3342		SD
3.341		HH
3.7646		HH
3.9935		HH
4.0012		KD
4.4372		HH
4.6605		HH
4.6605		SD
5.1049		HH
5.3171		HH
5.3343		KD
5.7774		HH
6.0008		SD
6.0077		HH
6.4313		HH
6.6677		KD
7.1049		HH
7.3335		HH
7.3342		SD
7.7855		HH
7.999		HH
8.0012		KD
8.4441		HH
8.6675		SD
8.6744		HH
9.098		HH
9.3225		HH
9.3345		KD
9.7706		HH
9.9938		HH
9.9939		SD
10.4383		HH
10.6577		HH
10.6676		KD
11.1107		HH
11.3342		SD
11.341		HH
11.7647		HH
12.0011		KD
12.4383		HH
12.6668		HH
12.6675		SD
