0.08585		HH
0.09179		KD
0.50431		HH
0.52608		SD
0.94222		HH
0.97488		KD
1.37		HH
1.3896		SD
1.7814		HH
1.8362		KD
2.215		HH
2.2567		SD
2.4625		SD
2.6489		HH
2.6681		KD
3.0919		HH
3.0957		SD
3.516		HH
3.5287		KD
3.9385		HH
4.001		SD
4.3701		KD
4.3812		HH
4.595		HH
4.7981		HH
4.8361		SD
5.223		HH
5.2383		KD
5.6319		HH
5.663		SD
6.0643		HH
6.0934		KD
6.3129		KD
6.4957		HH
6.5213		SD
6.9333		HH
6.9616		KD
7.3626		HH
7.8113		HH
7.8291		KD
7.8463		SD
8.2348		HH
8.6432		HH
8.6868		KD
9.0687		HH
9.4998		HH
9.5176		KD
9.5518		SD
9.7273		KD
9.9285		HH
9.9663		SD
10.18		SD
10.3636		HH
10.3717		KD
10.787		HH
11.2183		HH
11.2311		SD
11.2461		KD
11.6568		HH
12.0772		HH
12.094		KD
12.5001		HH
12.7231		KD
12.9402		HH
12.9429		KD
12.9687		SD
13.3829		HH
13.4032		SD
13.6198		SD
13.7916		KD
13.7994		HH
14.2175		HH
14.6333		HH
14.6827		SD
15.08		HH
15.5093		HH
15.5149		KD
15.9296		KD
15.945		HH
16.3663		HH
16.3704		SD
16.7896		HH
16.7916		SD
17.015		SD
17.2249		KD
17.2263		HH
